Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH
NMC,1,D3-100,2.1,1.9155,5,5,4.560714285714286,0.00255319148936195,0.012529199405394209,0.0035033939128528147,0.0019577985642804663,0.002765957446808187,0.005703422053232821,0.019378280177634544,0.02025931928687097,0.0027677240791996738,0.019762005949850447,0.0062667860340193116,0.004203539823008917,0.0019136721241759247,0.015719974848039442,0.048432513609911076,0.05080918328942463,0.0027694929697492654,0.03464300802703857,0.010159316555068187,0.011980108499095365,0.0025515628322345663,0.9121428571428571
NMC,2,D3-200,2.1,1.8499,5,5,4.40452380952381,0.006595744680851112,0.007220216606499186,0.01904970440113818,0.01740265390472029,0.006595744680851112,0.010984368398817779,0.010092854259184492,0.008914100486223653,0.005961251862891537,0.01381215469613295,0.031333930170098334,0.03362831858407134,0.0072294280246651965,0.015719974848039442,0.028533883987234,0.03782461422657146,0.005965061780996983,0.04647232784114852,0.04594781805587722,0.040687160940326095,0.0072294280246651965,0.880904761904762
NMC,3,D3-300,2.1,1.8004,5,5,4.286666666666667,0.00255319148936195,0.0,0.016422158966499012,0.02284098324994499,0.002765957446808187,0.005069708491761915,0.006257569640694349,0.006888168557535934,0.0027677240791996738,0.015724606884827352,0.029095792300806167,0.02743362831858409,0.0025515628322345663,0.0058687906099352816,0.026281208935610145,0.037260067745577885,0.0019173412867496964,0.019645120405576755,0.0466404987300848,0.05470162748643759,0.0038273442483518494,0.8573333333333333
NMC,4,D3-400,2.1,1.7452,5,5,4.155238095238095,0.011063829787233637,0.015077511148864353,0.03393912853076397,0.0376332390689571,0.011276595744679874,0.01563160118293183,0.0038352846184901423,0.004457050243111382,0.010645092612305618,0.017637059073522643,0.05349149507609674,0.053539823008850185,0.011907293217094939,0.017606371829804957,0.01520555659845968,0.021640948438088614,0.010012782275245158,0.0458386142796785,0.07734934195335974,0.08069620253164622,0.01318307463321311,0.831047619047619
NMC,5,D3-500,2.1,1.6421,5,5,3.9097619047619045,0.02829787234042591,0.03164153748141896,0.05780599956207588,0.057863824233194805,0.029148936170212636,0.030629488804394533,0.01372628179249169,0.01641004862236528,0.0278901426442415,0.030811729706757163,0.08258728737690291,0.08584070796460264,0.028917712098659898,0.04548312722699599,0.020461798385582597,0.029732781332329594,0.02769492969748555,0.03929024081115262,0.11244516277995942,0.1247739602169986,0.031681905166913715,0.7819523809523808
NMC,6,D3-600,2.1,1.5016,5,5,3.575238095238095,0.0455319148936173,0.04417073688681317,0.08495730238668653,0.08483793778551174,0.046170212765957785,0.047106041402619425,0.02180056519983964,0.02269043760129641,0.044922290823930844,0.06183595410114684,0.1159355416293657,0.12146017699115053,0.04677865192430275,0.04611192622091753,0.02327764220011197,0.03556642830259715,0.04495100127822749,0.08829742289818299,0.15192796120988206,0.14850813743218794,0.049968105464597734,0.715047619047619
NMC,7,D4-100,2.1,1.9134,5,5,4.555714285714285,0.0031914893617024376,0.009343809726057195,0.002846507554193245,0.005873395692843175,0.004042553191489162,0.01563160118293183,0.02180056519983964,0.025729335494327543,0.004045135192676241,0.005949851253718386,0.004923903312444189,0.011061946902654718,0.003189453540293208,0.024103961433660892,0.052374694950253264,0.060030109145653654,0.004047720494248175,0.01901140684410585,0.00577233895174345,0.0,0.003189453540293208,0.9111428571428571
NMC,8,D4-200,2.1,1.8448,5,5,4.392380952380952,0.008510638297872575,0.012529199405394209,0.01904970440113818,0.025451381335653167,0.008723404255318812,0.02027883396704766,0.013120710536940194,0.014586709886547311,0.008728975942090322,0.011687207819804257,0.02976723366159284,0.03030973451327501,0.00786731873272295,0.013623978201634301,0.03210061948563858,0.04027098231087756,0.00788240306774668,0.011195606252640822,0.04386977603324915,0.04633815551537168,0.007867318732723838,0.8784761904761904
NMC,9,D4-300,2.1,1.7955,5,5,4.275,0.004468085106383413,0.008494372478233814,0.01773593168381815,0.02218838372851817,0.005319148936170137,0.007182087029995898,0.009285425918450052,0.010737439222041623,0.004683840749414081,0.015087122821928922,0.02976723366159284,0.02942477876106242,0.005315755900489272,0.022846363445817808,0.028533883987234,0.03199096725630479,0.004686834256498074,0.006548373468524993,0.04733317940429416,0.059674502712477207,0.005953646608547913,0.855
NMC,10,D4-400,2.1,1.7384,5,5,4.139047619047619,0.0144680851063832,0.013166277341261079,0.038099408802277246,0.041113769849902226,0.015319148936169924,0.028094634558512688,0.006257569640694349,0.006888168557535934,0.01405152224824402,0.010412239694007397,0.056177260519246985,0.06526548672566435,0.015096746757389035,0.027876755397191033,0.016331894124271606,0.01693639442980821,0.013208351086493764,0.04457118715673758,0.07734934195335974,0.08838155515370794,0.016372528173506318,0.8278095238095238
NMC,11,D4-500,2.1,1.6765,5,5,3.9916666666666667,0.0289361702127664,0.03482692716075597,0.06109043135537551,0.06264955405699357,0.029787234042553123,0.035276721588508586,0.008679854662899444,0.008914100486223653,0.0278901426442415,0.028899277518061872,0.08549686660698264,0.09535398230088532,0.029555602806719428,0.049465520855166645,0.013516050309742234,0.013925479864508539,0.027055815935236538,0.058935361216729376,0.11036712075733135,0.12545207956600457,0.032319795874973245,0.7983333333333333
NMC,12,D4-600,2.1,1.6112,5,5,3.8361904761904757,0.038297872340426586,0.039498832023784125,0.07466608276768127,0.07874700891886022,0.039574468085105785,0.04372623574144541,0.014937424303593794,0.014586709886547311,0.03768362784756274,0.030811729706757163,0.10138764547896173,0.11106194690265614,0.04018711460769708,0.062460700062879404,0.01520555659845968,0.017500940910801788,0.037068598210482584,0.06611744824672527,0.129762179635188,0.13878842676311187,0.04273867743993165,0.7672380952380952
NMC,13,E3-200,2.1,1.8787,5,5,4.473095238095238,0.005319148936170137,0.011892121469526451,0.013575651412305767,0.01740265390472029,0.005319148936170137,0.014364174059991797,0.012515139281389587,0.006888168557535934,0.004683840749414081,0.01381215469613295,0.022157564905998406,0.02942477876106242,0.005953646608547913,0.014881576189477386,0.03379012577435603,0.0391418893488904,0.004686834256498074,0.028094634558512688,0.0316324174555529,0.04837251356238781,0.005953646608547913,0.8946190476190476
